,Country,Year,Suicides number,Life expectancy,Adult Mortality,Infant deaths,Alcohol,Under-five deaths,HIV/AIDS,GDP,Population,Income composition of resources,Schooling
0,Albania,1970-01-01 00:00:00.000002000,54.0,72.6,11.0,1,3.66,1,0.1,1175.788981,38927.0,0.656,10.7
1,Albania,1970-01-01 00:00:00.000002001,119.0,73.6,14.0,1,4.25,1,0.1,1326.97339,36173.0,0.662,10.6
2,Albania,1970-01-01 00:00:00.000002002,133.0,73.3,15.0,1,3.73,1,0.1,1453.642777,3511.0,0.67,10.7
3,Albania,1970-01-01 00:00:00.000002003,124.0,72.8,18.0,1,4.29,1,0.1,189.681557,339616.0,0.674,10.7
4,Albania,1970-01-01 00:00:00.000002004,146.0,73.0,17.0,1,4.54,1,0.1,2416.588235,326939.0,0.681,10.9
5,Albania,1970-01-01 00:00:00.000002005,0.0,73.5,15.0,1,5.16,1,0.1,279.142931,311487.0,0.685,10.8
6,Albania,1970-01-01 00:00:00.000002006,0.0,74.2,99.0,1,5.31,1,0.1,35.1293,2992547.0,0.696,11.4
7,Albania,1970-01-01 00:00:00.000002007,124.0,75.9,9.0,1,5.58,1,0.1,363.13685,29717.0,0.703,11.6
8,Albania,1970-01-01 00:00:00.000002008,160.0,75.3,1.0,1,5.61,1,0.1,437.539647,2947314.0,0.713,12.0
9,Albania,1970-01-01 00:00:00.000002009,0.0,76.1,91.0,1,5.79,1,0.1,4114.136545,2927519.0,0.721,12.2
10,Albania,1970-01-01 00:00:00.000002010,96.0,76.2,91.0,1,5.28,1,0.1,494.358832,291321.0,0.725,12.5
11,Antigua and Barbuda,1970-01-01 00:00:00.000002000,2.0,73.6,156.0,0,7.27,0,0.1,9875.161736,75326.0,0.0,0.0
12,Antigua and Barbuda,1970-01-01 00:00:00.000002001,2.0,73.8,154.0,0,7.51,0,0.1,9358.154162,76497.0,0.0,0.0
13,Antigua and Barbuda,1970-01-01 00:00:00.000002002,0.0,74.0,153.0,0,7.21,0,0.1,9386.716452,77588.0,0.0,0.0
14,Antigua and Barbuda,1970-01-01 00:00:00.000002003,1.0,74.2,151.0,0,7.16,0,0.1,9739.82556,78658.0,0.0,0.0
15,Antigua and Barbuda,1970-01-01 00:00:00.000002004,2.0,74.4,149.0,0,7.28,0,0.1,1352.8374,79722.0,0.0,0.0
16,Antigua and Barbuda,1970-01-01 00:00:00.000002005,0.0,74.6,147.0,0,8.15,0,0.1,11371.93895,80809.0,0.0,0.0
17,Antigua and Barbuda,1970-01-01 00:00:00.000002006,0.0,74.8,145.0,0,8.93,0,0.1,12724.39377,81973.0,0.773,14.7
18,Antigua and Barbuda,1970-01-01 00:00:00.000002007,1.0,75.0,144.0,0,8.64,0,0.1,14252.29452,83131.0,0.781,14.5
19,Antigua and Barbuda,1970-01-01 00:00:00.000002008,0.0,75.2,142.0,0,8.27,0,0.1,1473.31923,84273.0,0.786,14.4
20,Antigua and Barbuda,1970-01-01 00:00:00.000002009,0.0,75.4,14.0,0,7.82,0,0.1,1312.46692,85405.0,0.788,14.2
21,Antigua and Barbuda,1970-01-01 00:00:00.000002012,0.0,75.9,134.0,0,8.18,0,0.2,12565.44197,88703.0,0.778,13.8
22,Antigua and Barbuda,1970-01-01 00:00:00.000002013,0.0,76.1,133.0,0,8.58,0,0.2,12224.86416,89779.0,0.781,13.9
23,Antigua and Barbuda,1970-01-01 00:00:00.000002014,0.0,76.2,131.0,0,8.56,0,0.2,12888.29667,90837.0,0.782,13.9
24,Antigua and Barbuda,1970-01-01 00:00:00.000002015,1.0,76.4,13.0,0,8.56,0,0.2,13566.9541,91889.0,0.784,13.9
25,Argentina,1970-01-01 00:00:00.000002000,2774.0,74.1,137.0,12,7.68,14,0.1,7669.273916,3757452.0,0.764,15.0
26,Argentina,1970-01-01 00:00:00.000002001,3132.0,74.0,138.0,12,7.76,13,0.1,717.694674,3747159.0,0.771,15.6
27,Argentina,1970-01-01 00:00:00.000002002,3162.0,74.1,138.0,12,7.81,13,0.1,2579.193168,3788937.0,0.776,16.3
28,Argentina,1970-01-01 00:00:00.000002003,3289.0,74.1,137.0,11,7.62,13,0.1,333.4376,3839379.0,0.77,16.4
29,Argentina,1970-01-01 00:00:00.000002004,3121.0,74.7,13.0,11,7.63,12,0.1,4251.574348,38728696.0,0.775,16.3
30,Argentina,1970-01-01 00:00:00.000002005,3058.0,74.9,127.0,11,7.53,12,0.1,576.883829,39145488.0,0.78,16.3
31,Argentina,1970-01-01 00:00:00.000002006,3108.0,75.2,127.0,11,7.75,12,0.1,5878.76127,3955889.0,0.782,16.1
32,Argentina,1970-01-01 00:00:00.000002007,2946.0,74.8,129.0,10,8.16,12,0.1,7193.61764,3997224.0,0.788,16.3
33,Argentina,1970-01-01 00:00:00.000002008,3059.0,75.4,126.0,10,8.41,11,0.1,8953.359275,4382389.0,0.792,16.3
34,Argentina,1970-01-01 00:00:00.000002009,2884.0,75.6,126.0,10,8.33,11,0.1,8161.36966,479947.0,0.794,16.5
35,Argentina,1970-01-01 00:00:00.000002010,2943.0,75.5,121.0,10,8.15,11,0.1,1276.265,41223889.0,0.802,16.8
36,Argentina,1970-01-01 00:00:00.000002011,2912.0,75.7,12.0,9,8.11,10,0.1,12726.9836,41656879.0,0.816,17.1
37,Argentina,1970-01-01 00:00:00.000002012,3248.0,75.9,12.0,9,8.35,10,0.1,12969.7712,4296739.0,0.822,17.2
38,Argentina,1970-01-01 00:00:00.000002013,2987.0,76.0,119.0,8,8.28,10,0.1,12976.63642,42539925.0,0.823,17.3
39,Argentina,1970-01-01 00:00:00.000002014,3231.0,76.2,118.0,8,7.93,9,0.1,12245.25645,42981515.0,0.825,17.3
40,Argentina,1970-01-01 00:00:00.000002015,3073.0,76.3,116.0,8,7.93,9,0.1,13467.1236,43417765.0,0.826,17.3
41,Armenia,1970-01-01 00:00:00.000002000,61.0,72.0,142.0,1,2.9,1,0.1,622.7427477,369588.0,0.639,11.2
42,Armenia,1970-01-01 00:00:00.000002001,60.0,72.6,141.0,1,2.86,1,0.1,694.435119,35655.0,0.644,11.1
43,Armenia,1970-01-01 00:00:00.000002002,74.0,72.6,134.0,1,2.86,1,0.1,783.261699,333897.0,0.645,10.8
44,Armenia,1970-01-01 00:00:00.000002003,59.0,72.7,134.0,1,3.03,1,0.1,93.1661567,31786.0,0.657,10.8
45,Armenia,1970-01-01 00:00:00.000002006,78.0,72.9,141.0,1,4.01,1,0.1,2158.299,29585.0,0.692,11.2
46,Armenia,1970-01-01 00:00:00.000002007,71.0,73.5,132.0,1,3.99,1,0.1,3138.8873,293356.0,0.707,11.7
47,Armenia,1970-01-01 00:00:00.000002008,63.0,73.2,14.0,1,3.96,1,0.1,41.26997,29822.0,0.721,12.3
48,Armenia,1970-01-01 00:00:00.000002009,53.0,73.3,137.0,1,3.96,1,0.1,2993.832531,2888584.0,0.725,11.9
49,Armenia,1970-01-01 00:00:00.000002010,73.0,73.5,132.0,1,4.23,1,0.1,3218.381655,2877311.0,0.72,12.3
50,Armenia,1970-01-01 00:00:00.000002011,67.0,73.9,128.0,1,4.09,1,0.1,3526.978143,2875581.0,0.729,12.7
